Name,Year,Country,Genre,Rating,Metascore,Runtime,Sound_mix,Color,Budget,Gross,Director,Stars
Hair,1979,West Germany," Comedy, Drama, Musical, Romance, War",7.6,68,121 min,70 mm 6-Track,Color,"$11,000,000 ",0,Milos Forman ,"John Savage,Treat Williams,Beverly D'Angelo"
Manhattan,1979,USA," Comedy, Drama, Romance",8,83,96 min,Mono, Black and White,0,"$45,700,000 ",Woody Allen ,"Woody Allen,Diane Keaton,Mariel Hemingway"
Breaking Away,1979,USA," Comedy, Drama, Romance, Sport",7.7,0,101 min,Mono,Color,"$2,300,000 ",0,Peter Yates ,"Dennis Christopher,Dennis Quaid,Daniel Stern"
10,1979,USA," Comedy, Romance",6,0,122 min,Stereo,Color,0,0,Blake Edwards ,"Dudley Moore,Bo Derek,Julie Andrews"
The Jerk,1979,USA, Comedy,7.2,0,94 min,Mono,Color,0,0,Carl Reiner ,"Steve Martin,Bernadette Peters,Catlin Adams"
The Black Hole,1979,USA," Action, Sci-Fi",5.9,0,98 min,Dolby Stereo,Color,"$20,000,000 ",0,Gary Nelson ,"Maximilian Schell,Anthony Perkins,Robert Forster"
All That Jazz,1979,USA," Comedy, Drama, Music, Musical",7.8,0,123 min,Dolby,Color,0,0,Bob Fosse ,"Roy Scheider,Jessica Lange,Leland Palmer"
Moonraker,1979,UK," Action, Adventure, Sci-Fi, Thriller",6.3,0,126 min,Dolby Stereo,Color,"$34,000,000 ","$62,700,000 ",Lewis Gilbert ,"Roger Moore,Lois Chiles,Michael Lonsdale"
1941,1979,USA," Action, Comedy, War",5.9,34,118 min,Stereo,Color,"$35,000,000 ",0,Steven Spielberg ,"John Belushi,Dan Aykroyd,Treat Williams"
The Amityville Horror,1979,USA, Horror,6.2,0,117 min,Mono,Color,"$4,700,000 ","$86,432,520 ",Stuart Rosenberg ,"James Brolin,Margot Kidder,Rod Steiger"
Last Embrace,1979,USA," Mystery, Romance, Thriller",6.2,0,102 min,Mono,Color,0,0,Jonathan Demme ,"Roy Scheider,Janet Margolin,John Glover"
Tess,1979,UK," Drama, Romance",7.3,0,186 min,70 mm 6-Track,Color,"$12,000,000 ",0,Roman Polanski ,"Nastassja Kinski,Peter Firth,Leigh Lawson"
...and justice for all.,1979,USA," Crime, Drama, Thriller",7.4,0,119 min,Mono,Color,0,0,Norman Jewison ,"Al Pacino,Jack Warden,John Forsythe"
Meatballs,1979,Canada, Comedy,6.2,0,94 min,Stereo,Color,"CADåÊ1,600,000        ","$43,000,000 ",Ivan Reitman ,"Bill Murray,Harvey Atkin,Kate Lynch"
The China Syndrome,1979,USA," Drama, Thriller",7.4,0,122 min,Mono,Color,0,0,James Bridges ,"Jane Fonda,Jack Lemmon,Michael Douglas"
Nosferatu the Vampyre,1979,West Germany, Horror,7.6,0,107 min,Mono,Color,0,0,Werner Herzog ,"Klaus Kinski,Isabelle Adjani,Bruno Ganz"
The Muppet Movie,1979,UK," Adventure, Comedy, Family, Musical",7.6,69,95 min,Dolby,Color,0,"$76,657,000 ",James Frawley ,"Jim Henson,Frank Oz,Jerry Nelson"
The Wanderers,1979,USA, Drama,7.5,0,112 min,Stereo,Color,0,"$11,827 ",Philip Kaufman ,"Ken Wahl,Karen Allen,John Friedrich"
Quadrophenia,1979,UK," Drama, Music",7.3,79,120 min,Dolby,Color,0,0,Franc Roddam ,"Phil Daniels,Leslie Ash,Phil Davis"
Beneath the Valley of the Ultra-Vixens,1979,USA, Comedy,5.7,0,93 min,Mono,Color,"$239,000 ",0,Russ Meyer ,"Kitten Natividad,Ann Marie,Ken Kerr"
The Brood,1979,Canada," Horror, Sci-Fi",6.9,0,92 min,Mono,Color,"CADåÊ1,400,000        ",0,David Cronenberg ,"Oliver Reed,Samantha Eggar,Art Hindle"
Zombie,1979,Italy, Horror,6.9,0,91 min,Mono,Color,"ITLåÊ410,000,000        ",0,Lucio Fulci ,"Tisa Farrow,Ian McCulloch,Richard Johnson"
When a Stranger Calls,1979,USA," Crime, Drama, Horror, Thriller",6.6,0,97 min,Mono,Color,"$1,500,000 ",0,Fred Walton ,"Carol Kane,Charles Durning,Rutanya Alda"
The Black Stallion,1979,USA," Adventure, Family, Sport",7.4,84,118 min,70 mm 6-Track,Color,"$2,700,000 ",0,Carroll Ballard ,"Kelly Reno,Mickey Rooney,Teri Garr"
The Champ,1979,USA," Drama, Sport",6.8,0,121 min,4-Track Stereo,Color,0,0,Franco Zeffirelli ,"Jon Voight,Faye Dunaway,Ricky Schroder"
Over the Edge,1979,USA," Crime, Drama",7.6,0,95 min,Mono,Color,0,0,Jonathan Kaplan ,"Matt Dillon,Michael Eric Kramer,Pamela Ludwig"
Time After Time,1979,USA," Adventure, Drama, Sci-Fi, Thriller",7.2,0,112 min,Dolby,Color,0,0,Nicholas Meyer ,"Malcolm McDowell,Mary Steenburgen,David Warner"
Tim,1979,Australia," Drama, Romance",6.5,0,109 min,Mono,Color,0,0,Michael Pate ,"Piper Laurie,Mel Gibson,Alwyn Kurts"
The Tin Drum,1979,West Germany," Drama, War",7.6,0,142 min,Mono, Black and White,0,0,Volker SchlÌ_ndorff ,"David Bennent,Mario Adorf,Angela Winkler"
Hardcore,1979,USA," Drama, Thriller",7,0,109 min,Mono,Color,0,0,Paul Schrader ,"George C. Scott,Peter Boyle,Season Hubley"
The Rose,1979,USA," Drama, Music, Romance",6.9,0,125 min,Dolby,Color,"$8,500,000 ","$29,200,000 ",Mark Rydell ,"Bette Midler,Alan Bates,Frederic Forrest"
The Frisco Kid,1979,USA," Comedy, Drama, Western",6.4,0,119 min,Mono,Color,0,0,Robert Aldrich ,"Gene Wilder,Harrison Ford,Ramon Bieri"
The Great Train Robbery,1979,UK," Adventure, Crime, Drama, Thriller",7,0,110 min,Dolby, Black and White,"$6,000,000 ",0,Michael Crichton ,"Sean Connery,Donald Sutherland,Lesley-Anne Down"
The Villain,1979,USA," Comedy, Western",5.4,0,89 min,Mono,Color,0,0,Hal Needham ,"Kirk Douglas,Arnold Schwarzenegger,Ann-Margret"
Scum,1979,UK," Crime, Drama",7.6,0,98 min,Mono,Color,"å£250,000        ",0,Alan Clarke ,"Ray Winstone,Mick Ford,Julian Firth"
The Shining,1980,UK," Drama, Horror",8.4,61,144 min,Mono,Color,"$19,000,000 ",0,Stanley Kubrick ,"Jack Nicholson,Shelley Duvall,Danny Lloyd"
The Blues Brothers,1980,USA," Action, Comedy, Crime, Music, Musical",7.9,0,133 min,4-Track Stereo,Color,"$27,000,000 ","$54,200,000 ",John Landis ,"John Belushi,Dan Aykroyd,Cab Calloway"
Star Wars: Episode V - The Empire Strikes Back,1980,USA," Action, Adventure, Fantasy, Sci-Fi",8.8,81,124 min,70 mm 6-Track,Color,"$18,000,000 ","$290,158,751 ",Irvin Kershner ,"Mark Hamill,Harrison Ford,Carrie Fisher"
Airplane!,1980,USA, Comedy,7.8,0,88 min,4-Track Stereo,Color,"$3,500,000 ","$83,400,000 ",,"Robert Hays,Julie Hagerty,Leslie Nielsen"
The Blue Lagoon,1980,USA," Adventure, Drama, Romance",5.7,0,104 min,Dolby,Color,"$4,500,000 ",0,Randal Kleiser ,"Brooke Shields,Christopher Atkins,Leo McKern"
The Elephant Man,1980,USA," Biography, Drama",8.2,0,124 min,Dolby, Black and White,"$5,000,000 ",0,David Lynch ,"Anthony Hopkins,John Hurt,Anne Bancroft"
Heaven's Gate,1980,USA," Adventure, Drama, Western",6.8,0,149 min,Dolby,Color,"$44,000,000 ","$1,500,000 ",Michael Cimino ,"Kris Kristofferson,Christopher Walken,John Hurt"
Cannibal Holocaust,1980,Italy," Adventure, Horror",6,0,95 min,Mono,Color,"$100,000 ",0,Ruggero Deodato ,"Robert Kerman,Francesca Ciardi,Perry Pirkanen"
Raging Bull,1980,USA," Biography, Drama, Sport",8.2,92,129 min,Dolby, Black and White,"$18,000,000 ","$45,250 ",Martin Scorsese ,"Robert De Niro,Cathy Moriarty,Joe Pesci"
Friday the 13th,1980,USA," Horror, Mystery, Thriller",6.5,35,95 min,Mono,Color,"$550,000 ","$37,465,200 ",Sean S. Cunningham ,"Betsy Palmer,Adrienne King,Jeannine Taylor"
Caddyshack,1980,USA," Comedy, Sport",7.3,44,98 min,Mono,Color,"$6,000,000 ","$39,800,000 ",Harold Ramis ,"Chevy Chase,Rodney Dangerfield,Bill Murray"
Flash Gordon,1980,UK," Action, Adventure, Sci-Fi",6.5,63,111 min,70 mm 6-Track,Color,"$20,000,000 ",0,Mike Hodges ,"Sam J. Jones,Melody Anderson,Max von Sydow"
Popeye,1980,USA," Adventure, Comedy, Family, Fantasy, Musical, Romance",5.2,48,114 min,Vistasonic, Black and White,"$20,000,000 ","$50,000,000 ",Robert Altman ,"Robin Williams,Shelley Duvall,Ray Walston"
Melvin and Howard,1980,USA," Comedy, Drama",6.9,0,95 min,Stereo,Color,0,0,Jonathan Demme ,"Paul Le Mat,Jason Robards,Elizabeth Cheshire"
Ordinary People,1980,USA, Drama,7.8,85,124 min,Mono,Color,"$6,000,000 ","$54,800,000 ",Robert Redford ,"Donald Sutherland,Mary Tyler Moore,Judd Hirsch"
9 to 5,1980,USA, Comedy,6.7,0,109 min,4-Track Stereo,Color,"$10,000,000 ","$103,290,500 ",Colin Higgins ,"Jane Fonda,Lily Tomlin,Dolly Parton"
Urban Cowboy,1980,USA," Drama, Romance, Western",6.2,0,132 min,Dolby,Color,0,0,James Bridges ,"John Travolta,Debra Winger,Scott Glenn"
The Fog,1980,USA," Horror, Thriller",6.8,0,89 min,Mono,Color,"$1,000,000 ","$21,378,000 ",John Carpenter ,"Adrienne Barbeau,Jamie Lee Curtis,Janet Leigh"
Superman II,1980,UK," Action, Adventure, Sci-Fi",6.8,87,127 min,70 mm 6-Track,Color,"$54,000,000 ","$108,200,000 ",,"Gene Hackman,Christopher Reeve,Margot Kidder"
Dressed to Kill,1980,USA," Crime, Mystery, Thriller",7.1,0,105 min,Mono,Color,"$6,500,000 ","$31,899,000 ",Brian De Palma ,"Michael Caine,Angie Dickinson,Nancy Allen"
Used Cars,1980,USA, Comedy,6.8,0,113 min,Mono,Color,"$8,000,000 ",0,Robert Zemeckis ,"Kurt Russell,Jack Warden,Gerrit Graham"
The Gods Must Be Crazy,1980,Botswana, Comedy,7.3,0,109 min,Mono,Color,"$5,000,000 ","$51,200,000 ",Jamie Uys ,"N!xau,Marius Weyers,Sandra Prinsloo"
The Final Countdown,1980,USA," Action, Sci-Fi",6.7,0,103 min,Dolby,Color,"$12,000,000 ",0,Don Taylor ,"Kirk Douglas,Martin Sheen,Katharine Ross"
Fame,1980,USA," Drama, Music, Musical",6.6,0,134 min,Dolby,Color,0,$21 ,Alan Parker ,"Eddie Barth,Irene Cara,Lee Curreri"
Altered States,1980,USA," Horror, Sci-Fi, Thriller",6.9,0,102 min,Dolby,Color,0,"$25,000,000 ",Ken Russell ,"William Hurt,Blair Brown,Bob Balaban"
Somewhere in Time,1980,USA," Drama, Fantasy, Romance",7.3,29,103 min,Mono,Color,"$5,100,000 ",0,Jeannot Szwarc ,"Christopher Reeve,Jane Seymour,Christopher Plummer"
The Watcher in the Woods,1980,USA," Family, Horror, Mystery, Thriller",6.4,0,84 min,Dolby,Color,0,0,,"Bette Davis,Lynn-Holly Johnson,Kyle Richards"
Cruising,1980,West Germany," Crime, Drama, Mystery, Thriller",6.4,0,102 min,Mono,Color,"$11,000,000 ",0,William Friedkin ,"Al Pacino,Paul Sorvino,Karen Allen"
Battle Beyond the Stars,1980,USA," Action, Adventure, Sci-Fi",5.5,0,104 min,Mono,Color,"$2,000,000 ",0,,"George Peppard,Robert Vaughn,Richard Thomas"
Xanadu,1980,USA," Fantasy, Musical, Romance",5.1,35,96 min,4-Track Stereo,Color,"$20,000,000 ","$10,200,000 ",Robert Greenwald ,"Olivia Newton-John,Gene Kelly,Michael Beck"
The Long Riders,1980,USA, Western,7.1,0,100 min,Mono,Color,"$10,000,000 ",0,Walter Hill ,"David Carradine,Stacy Keach,Dennis Quaid"
Private Benjamin,1980,USA," Comedy, War",6.1,0,109 min,Stereo,Color,"$10,000,000 ","$69,800,000 ",Howard Zieff ,"Goldie Hawn,Eileen Brennan,Armand Assante"
American Gigolo,1980,USA," Crime, Drama, Mystery, Romance, Thriller",6.2,0,117 min,Dolby,Color,"$4,800,000 ",0,Paul Schrader ,"Richard Gere,Lauren Hutton,Hector Elizondo"
The Changeling,1980,Canada, Horror,7.3,0,107 min,Dolby,Color,"CADåÊ7,600,000        ",0,Peter Medak ,"George C. Scott,Trish Van Devere,Melvyn Douglas"
The Big Red One,1980,USA," Drama, War",7.2,77,113 min,Dolby Digital, Black and White,"$4,500,000 ",0,Samuel Fuller ,"Lee Marvin,Mark Hamill,Robert Carradine"
Prom Night,1980,Canada," Horror, Thriller",5.4,0,92 min,Mono,Color,"CADåÊ1,500,000        ",0,Paul Lynch ,"Leslie Nielsen,Jamie Lee Curtis,Casey Stevens"
Kagemusha,1980,Japan," Drama, History, War",8,0,180 min,Dolby,Color,"$6,000,000 ",0,Akira Kurosawa ,"Tatsuya Nakadai,Tsutomu Yamazaki,Ken'ichi Hagiwara"
Any Which Way You Can,1980,USA," Action, Comedy",6,0,116 min,Stereo,Color,"$15,000,000 ",0,Buddy Van Horn ,"Clint Eastwood,Sondra Locke,Geoffrey Lewis"
Foxes,1980,USA, Drama,6.1,0,106 min,Mono,Color,0,0,Adrian Lyne ,"Jodie Foster,Cherie Currie,Marilyn Kagan"
Little Darlings,1980,USA," Comedy, Drama",6.4,0,0 min,Stereo,Color,0,0,Ron Maxwell (as Ronald F. Maxwell)            ,"Tatum O'Neal,Kristy McNichol,Armand Assante"
Stir Crazy,1980,USA," Comedy, Crime",6.8,50,111 min,Mono,Color,0,"$101,500,000 ",Sidney Poitier ,"Gene Wilder,Richard Pryor,Georg Stanford Brown"
The Dogs of War,1980,UK," Action, Adventure, Drama",6.3,0,104 min,Dolby,Color,0,0,John Irvin ,"Christopher Walken,Tom Berenger,Colin Blakely"
Saturn 3,1980,UK," Adventure, Horror, Sci-Fi, Thriller",5.1,0,96 min,Dolby,Color,"å£10,000,000        ",0,,"Farrah Fawcett,Kirk Douglas,Harvey Keitel"
Coal Miner's Daughter,1980,USA," Biography, Drama, Music, Musical",7.5,0,124 min,Mono,Color,0,"$79,900,000 ",Michael Apted ,"Sissy Spacek,Tommy Lee Jones,Levon Helm"
Alligator,1980,USA, Horror,5.9,0,91 min,Mono,Color,"$1,500,000 ",0,Lewis Teague ,"Robert Forster,Robin Riker,Michael V. Gazzo"
Brubaker,1980,USA," Crime, Drama",7.1,0,131 min,Mono,Color,"$9,000,000 ","$37,100,000 ",Stuart Rosenberg ,"Robert Redford,Yaphet Kotto,Morgan Freeman"
Inferno,1980,Italy, Horror,6.7,0,107 min,Dolby Stereo,Color,"$3,000,000 ",0,Dario Argento ,"Leigh McCloskey,Irene Miracle,Eleonora Giorgi"
Maniac,1980,USA," Drama, Horror, Thriller",6.5,0,87 min,Dolby,Color,"$350,000 ",0,William Lustig ,"Joe Spinell,Caroline Munro,Abigail Clayton"
Humanoids from the Deep,1980,USA," Horror, Sci-Fi",5.7,0,80 min,Mono,Color,0,0,,"Doug McClure,Ann Turkel,Vic Morrow"
The Long Good Friday,1980,UK," Crime, Drama, Mystery, Thriller",7.7,0,114 min,Mono,Color,0,0,John Mackenzie ,"Bob Hoskins,Helen Mirren,Paul Freeman"
Mommie Dearest,1981,USA," Biography, Drama",6.7,0,129 min,Mono,Color,"$5,000,000 ",0,Frank Perry ,"Faye Dunaway,Diana Scarwid,Steve Forrest"
Raiders of the Lost Ark,1981,USA," Action, Adventure",8.5,85,115 min,70 mm 6-Track,Color,"$18,000,000 ","$242,374,454 ",Steven Spielberg ,"Harrison Ford,Karen Allen,Paul Freeman"
Escape from New York,1981,UK," Action, Sci-Fi",7.2,0,99 min,Dolby,Color,"$6,000,000 ","$25,244,700 ",John Carpenter ,"Kurt Russell,Lee Van Cleef,Ernest Borgnine"
The Evil Dead,1981,USA, Horror,7.5,70,85 min,Mono,Color,"$350,000 ",0,Sam Raimi ,"Bruce Campbell,Ellen Sandweiss,Richard DeManincor"
Galaxy of Terror,1981,USA," Action, Adventure, Horror, Sci-Fi",5.1,0,81 min,Mono,Color,"$700,000 ",0,Bruce D. Clark (as B.D. Clark)            ,"Edward Albert,Erin Moran,Ray Walston"
Das Boot,1981,West Germany," Adventure, Drama, Thriller, War",8.4,86,149 min,Dolby Digital,Color,"$14,000,000 ","$11,433,134 ",Wolfgang Petersen ,"JÌ_rgen Prochnow,Herbert GrÌ_nemeyer,Klaus Wennemann"
Excalibur,1981,USA," Adventure, Drama, Fantasy, Romance",7.4,0,140 min,Mono,Color,"$11,000,000 ",0,John Boorman ,"Nigel Terry,Helen Mirren,Nicholas Clay"
An American Werewolf in London,1981,UK," Comedy, Horror",7.6,60,97 min,DTS,Color,"$10,000,000 ",0,John Landis ,"David Naughton,Jenny Agutter,Joe Belcher"
The Road Warrior,1981,Australia," Action, Adventure, Sci-Fi, Thriller",7.6,76,95 min,Dolby, Black and White,"$2,000,000 ","$9,003,011 ",George Miller ,"Mel Gibson,Bruce Spence,Michael Preston"
Heavy Metal,1981,Canada," Animation, Adventure, Fantasy, Horror, Sci-Fi",6.7,0,86 min,Dolby,Color,"$9,300,000 ",0,,"Richard Romanus,John Candy,Joe Flaherty"
